R,Nome,R_Mantra,Squadra_y,Tit,Quote,Predict,Predict STD,FinVal,Diff,Tot. (%),SpesaPer,SpesaM,SpesaDiff,TA,LJAJIC,Torino,16
C,VALOTI,C;T,SPAL,0.55,5.0,5.441914817980677,0.2187807947643917,5.658274905170023,0.658274905170023,1.42,4.26,12.071258300341,15.62251660068201,CT,VALOTI,SPAL,5
C,EVERTON LUIZ,M;C,SPAL,0.5,7.0,5.530898079455147,0.2406402103011525,5.768417349509513,-1.231582650490487,0.81,2.43,11.34977213757244,17.83954427514488,MC,EVERTON LUIZ,SPAL,7
D,DICKMANN,Dd;E,SPAL,0.45,2.0,5.308439925768972,0.1859916714592505,3.01260463517739,1.012604635177391,1.5,4.5,7.542970266916199,6.085940533832398,DdE,DICKMANN,SPAL,2
A,NIANG,A,Torino,0.45,12.0,5.788936063194835,0.2944255365097974,7.320610886086351,-4.679389113913649,3.21,9.629999999999999,17.67688546059797,16.09377092119593,A,NIANG,Torino,12
C,VALDIFIORI,C,SPAL,0.55,2.0,5.308439925768972,0.1859916714592505,4.43000840859647,2.43000840859647,1.1,3.3,9.43326585410342,12.26653170820684,C,VALDIFIORI,SPAL,2
C,ACQUAH,M;C,Empoli,0.6,4.0,5.400814510914119,0.2077688091034078,5.977931698381818,1.977931698381818,0.63,1.89,11.44787660309854,19.11575320619708,MC,ACQUAH,Empoli,5
A,EDERA,A,Torino,0.5,4.0,5.433003017296954,0.2069878743627542,4.753935448599757,0.7539354485997571,0.35,1.05,8.87738673089136,15.65477346178272,A,EDERA,Torino,4
A,PARIGINI,W;A,Torino,0.1,7.0,5.566477909508659,0.2397769976678954,0.312586851496987,-6.687413148503013,0.75,2.25,1.674196828380064,-1.151606343239872,WA,PARIGINI,Torino,7
D,LYANCO,Dc,Torino,0.55,6.0,5.521986278771425,0.228847289899515,6.281481666358328,0.2814816663583279,0.46,1.38,11.72619615531002,20.69239231062004,Dc,LYANCO,Torino,6
D,BONIFAZI,Dc,SPAL,0.7,3.0,5.352931556506205,0.1969213792276309,6.965536234249592,3.965536234249592,0.47,1.41,12.94304005029675,23.0660801005935,Dc,BONIFAZI,SPAL,3
D,BREMER,Dc,Torino,0.55,4.0,5.433003017296954,0.2069878743627542,5.462637335309294,1.462637335309295,0.47,1.41,10.30253452448497,17.78506904896993,Dc,BREMER,Torino,4
A,DAMASCAN,Pc,Torino,0.1,0.9999999999999999,5.299528125085249,0.174198751057613,-2.14394614165011,-3.14394614165011,0.67,2.01,-2.761788064095091,-9.543576128190182,Pc,DAMASCAN,Torino,1
D,ADNAN,Ds;E,Atalanta,0.45,3.0,5.402876505110735,0.1957096502638341,3.722125497823541,0.7221254978235407,1.05,3.15,8.114556953363916,9.92911390672783,DsE,ADNAN,Atalanta,3
D,WAGUE,Dc,Udinese,0.45,0.9999999999999999,5.274476759807255,0.1748065295364809,2.666443693262137,1.666443693262137,0.59,1.77,5.569785723969278,7.599571447938557,Dc,WAGUE,Udinese,1
C,BADU,M;C,Udinese,0.5,5.0,5.452443282756195,0.2185253606100025,5.012834242069743,0.01283424206974271,1.2,3.6,10.60725677921299,14.01451355842598,MC,BADU,Udinese,5
C,PONTISSO,M;C,Udinese,0.1,0.9999999999999999,5.274476759807255,0.1748065295364809,-2.294469513704628,-3.294469513704628,0.23,0.6900000000000001,-3.686248831185963,-8.752497662371926,MC,PONTISSO,Udinese,1
A,VIZEU,Pc,Udinese,0.55,9.0,5.630409805705136,0.2622441916835241,7.359224790877355,-1.640775209122645,3.42,10.26,18.05972783445672,15.59945566891344,Pc,VIZEU,Udinese,9
P,MUSSO,Por,Udinese,0.75,7.999999999999999,5.5859181749679,0.2513144839151437,9.784610172190986,1.784610172190987,2.65,7.949999999999999,21.16598819341861,26.43197638683722,Por,MUSSO,Udinese,8
D,OPOKU,Dc,Udinese,0.45,3.0,5.363460021281725,0.1966659450732417,3.485288024311164,0.4852880243111644,0.41,1.23,6.73844735479432,11.01689470958864,Dc,OPOKU,Udinese,3
D,TER AVEST,Dd;E,Udinese,0.45,3.0,5.363460021281725,0.1966659450732417,3.485288024311164,0.4852880243111644,0.58,1.74,6.99344735479432,10.50689470958864,DdE,TER AVEST,Udinese,3
